Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
870,28.00,0,1,0,5.627218839,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,0,1,0,0,1.08,100
871,30.00,0,1,0,25.97628298,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,0,0,38.64,97
872,74.00,0,3,1,0.66771431,1,0,0,0,1,0,0,3,2,1,1,1,1,0,0,0,0,0,0,14.64,99
873,39.00,0,1,1,4.988726281,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,,
874,47.00,1,1,1,7.152175802,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,0,29.16,96
875,90.00,0,3,1,2.928184884,1,0,0,0,1,0,0,4,1,2,1,1,0,1,1,1,0,0,0,2.16,95
876,28.00,0,1,0,6.52245303,0,0,1,0,0,1,0,3,1,1,1,1,1,1,0,0,0,0,0,,
877,65.00,0,2,1,1.769593889,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,6.48,100
878,35.00,0,5,1,3.501057878,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,36.84,99
879,50.00,1,1,0,17.12121876,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,48.72,99
880,82.00,0,1,0,5.208286418,1,0,0,0,1,0,0,2,0.5,1,1,1,1,1,0,0,0,0,0,,
881,62.00,1,2,0,1.0073817,1,0,0,0,0,1,0,3,1,1,1,1,0,0,1,0,0,0,0,99,99
882,72.00,1,1,1,4.754925728,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,0,17.52,99
883,50.00,0,1,1,1.681703187,1,0,0,0,0,1,0,2,1,1,1,1,0,0,1,0,0,0,0,41.76,98
884,19.00,1,2,1,10.66595088,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,94.32,100
885,30.00,0,1,0,13.13079897,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,9.84,89
886,36.00,1,2,1,17.1346984,0,0,1,0,0,1,0,2,1,1,1,1,1,0,1,0,0,0,0,8.04,95
887,85.00,0,5,1,0.680807221,1,0,0,0,1,0,0,3,1,1,1,1,0,0,0,1,0,0,0,20.76,92
888,18.00,1,1,1,10.96953213,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,12.6,98
889,85.00,0,14,1,21.17602339,0,0,1,0,1,0,0,8,2,4,1,1,0,1,0,1,0,0,0,17.52,93
890,30.00,0,1,0,6.967161892,0,0,1,0,0,1,0,2,1.5,1,1,1,1,1,1,1,0,0,0,6.12,100
891,120.00,0,1,0,0.371385314,1,0,0,0,1,0,0,4,1,1,1,1,0,0,0,0,0,0,0,18.6,97
892,55.00,1,1,1,1.122106755,1,0,0,0,0,1,0,2,1.5,1,1,1,1,0,0,1,0,0,0,37.8,99
893,65.00,0,6,1,8.604988223,0,0,1,0,1,0,0,8,1,2,1,1,1,1,0,1,0,0,0,17.4,91
894,80.00,0,1,1,4.606716912,0,0,1,0,1,0,0,5,2.5,3,1,1,0,1,1,1,0,0,0,32.76,94
895,20.00,0,3,1,3.642518166,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,91.44,91
896,20.00,0,1,1,10.11545308,0,0,1,0,0,1,0,2,1,1,1,1,0,1,1,1,0,0,0,34.32,87
897,26.00,0,1,1,4.441598816,0,0,1,0,0,1,0,1,1.5,1,1,1,0,1,0,1,0,0,0,0.6,80
898,44.00,1,2,1,5.600426295,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,20.16,97
899,32.00,0,2,0,1.233558024,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,11.28,95
900,39.00,0,1,0,2.009843039,1,0,0,0,0,1,0,4,1,1,1,1,0,1,0,0,0,0,0,55.92,98
901,80.00,0,22,0,3.745291221,1,0,0,0,1,0,0,10,1,3,1,1,0,1,0,1,0,0,0,28.8,86
902,80.00,0,10,0,1.314426664,1,0,0,0,1,0,0,8,2,2,1,1,0,0,0,1,0,0,0,5.52,78
903,120.00,0,1,1,3.333702436,1,0,0,0,1,0,0,4,1,3,1,1,0,0,0,1,0,0,0,,
904,30.00,0,1,1,6.563725712,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,24.12,98
905,17.00,0,3,1,3.69547182,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,90.36,92
906,40.00,0,1,0,3.203675086,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,0,0,0,0,3.24,100
907,50.00,0,1,1,4.869379522,0,0,1,0,0,1,0,3,1,1,1,1,0,1,0,0,0,0,0,11.52,91
908,62.00,1,2,0,8.873902661,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,1,0,0,0,13.2,97
909,69.00,0,1,0,12.65280924,0,0,1,0,0,1,0,2,3.5,1,1,1,1,1,0,1,0,0,0,2.16,100
910,19.00,0,3,1,5.994123776,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,41.64,93
911,22.00,1,1,0,8.781940661,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,13.56,100
912,29.00,0,1,1,15.58013134,0,0,1,0,0,1,0,2,1.5,1,1,1,0,1,0,0,0,0,0,22.92,99
913,39.00,0,1,0,1.157269654,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,16.56,95
914,69.00,0,1,0,5.4982763,0,0,1,0,1,0,0,6,1,2,1,1,0,1,1,1,0,0,0,11.52,86
915,60.00,1,2,1,9.271015256,0,0,1,0,1,0,0,4,1,2,1,1,0,1,1,1,0,0,0,11.4,98
916,84.00,0,1,1,1.528592818,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,0,10.32,97
917,26.00,1,1,1,8.86772135,0,0,1,0,0,1,0,2,1.5,1,1,1,1,1,0,0,0,0,0,9.48,100
918,15.00,0,2,0,5.970838308,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,5.4,98
919,100.00,1,1,0,1.23862624,1,0,0,0,1,0,0,7,2,2,1,1,1,1,1,1,0,0,0,58.08,98
920,22.00,0,3,1,7.422735419,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,1.32,80
921,20.00,0,1,1,4.344334689,0,0,1,0,0,1,0,5,2,2,1,1,0,1,1,0,0,0,0,54.96,95
922,35.00,0,1,1,5.607817803,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,0,0,0,0,10.8,99
923,21.00,1,1,1,10.50756778,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,5.28,98
924,21.00,1,2,0,2.714741992,0,0,1,0,0,1,0,1,1.5,1,1,1,0,1,0,1,0,0,0,20.4,98
925,63.00,0,2,1,1.673403205,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,37.68,99
926,13.00,1,2,1,8.879510486,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,19.32,96
927,40.00,0,2,0,7.76099645,0,0,1,0,0,1,0,5,2,3,1,1,0,0,1,0,0,0,0,12.72,94
928,29.00,0,15,0,0.739624278,0,0,0,1,0,1,0,1,3,1,1,1,0,0,1,1,0,0,0,25.32,90
929,70.00,0,1,1,2.737031285,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,5.88,98
930,69.00,0,16,1,1.070236574,1,0,0,0,1,0,0,4,1,1,1,1,0,1,0,1,0,0,0,13.56,92
931,30.00,0,1,1,3.07546006,0,0,1,0,0,0,1,2,1,1,1,1,0,0,0,1,0,0,0,9.96,96
932,34.00,1,2,1,9.8796881,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,0,0,12.48,100
933,90.00,0,2,0,12.78841228,1,0,0,0,1,0,0,4,1,2,1,1,1,1,0,1,0,0,0,44.16,94
934,69.00,0,4,0,1.465790641,0,0,1,0,1,0,0,5,1.5,3,1,1,0,1,0,1,0,0,0,31.08,88
935,298.00,0,21,1,5.451659324,0,0,1,0,0,1,0,4,3,1,1,1,0,0,0,0,0,0,0,2.04,80
936,378.00,0,21,1,5.390539277,0,0,1,0,0,1,0,6,3,1,1,1,0,0,0,0,0,0,0,16.44,93
937,59.00,0,15,0,0.777903944,0,0,0,1,0,1,0,3,3,1,1,1,0,0,1,1,0,0,0,27.24,93
938,60.00,0,15,0,0.69524075,0,0,0,1,0,1,0,2,1,1,1,1,0,0,1,1,0,0,0,23.16,87
939,30.00,0,15,0,0.709185854,0,0,0,1,0,1,0,1,3,1,1,1,0,0,1,1,0,0,0,25.08,89
940,54.00,0,15,0,0.775976566,0,0,0,1,0,1,0,3,3,1,1,1,0,0,1,1,0,0,0,21.48,94
941,30.00,0,15,0,0.737314659,0,0,0,1,0,1,0,1,3,1,1,1,0,0,1,1,0,0,0,28.68,90
942,16.00,1,2,1,3.09678486,1,0,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,0,0,49.8,99
943,82.00,1,1,1,5.807022639,0,0,1,0,1,0,0,6,1,2,1,1,1,0,1,1,0,0,0,59.04,100
944,80.00,0,1,0,13.7864278,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,1.2,100
945,50.00,1,1,1,3.744958792,0,0,1,0,0,1,0,4,2.5,1,1,1,0,1,0,1,0,0,0,29.88,96
946,22.00,0,3,1,7.415633968,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,15.48,94
947,30.00,0,1,1,3.854965069,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,20.04,94
948,105.00,0,1,0,1.759643274,1,0,0,0,1,0,0,3,1,1,1,1,0,1,0,1,0,0,0,12.12,99
949,35.00,1,2,0,13.15028801,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,12.6,99
950,298.00,0,21,1,5.462285688,0,0,1,0,0,1,0,4,3,1,1,1,0,0,0,0,0,0,0,1.32,100
951,154.00,0,21,1,5.405369234,0,0,1,0,0,1,0,2,3,1,1,1,0,0,0,0,0,0,0,2.64,80
952,150.00,0,1,1,1.729777122,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0.48,100
953,27.00,1,2,1,7.216159487,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,14.16,100
954,20.00,1,2,0,4.727290805,0,0,1,0,0,1,0,3,1,1,0,1,1,0,1,0,0,0,0,32.4,96
955,73.00,1,6,0,1.696632481,1,0,0,0,1,0,0,4,1,2,1,1,0,1,1,1,0,0,0,10.56,96
956,112.00,0,2,1,2.341410613,1,0,0,0,1,0,0,4,1,2,1,1,0,1,1,0,0,0,0,101.28,87
957,25.00,0,3,1,1.895201416,1,0,0,0,0,1,0,2,1,1,1,1,0,0,1,1,0,0,0,25.32,98
958,87.00,0,19,0,0.826200181,1,0,0,0,1,0,0,4,2,2,1,1,0,0,1,1,0,0,0,37.2,99
959,154.00,0,21,1,5.313037899,0,0,1,0,0,1,0,2,3,1,1,1,1,0,0,0,0,0,0,1.2,90
960,226.00,0,21,1,5.40974468,0,0,1,0,0,1,0,3,3,1,1,1,1,0,0,0,0,0,0,8.52,94
961,226.00,0,21,1,5.501850657,0,0,1,0,0,1,0,3,3,1,1,1,1,0,0,0,0,0,0,4.32,88
962,69.00,1,5,1,0.609166982,1,0,0,0,1,0,0,4,1,1,1,1,0,0,1,1,0,0,0,57.24,97
963,70.00,0,1,1,5.640229342,0,0,1,0,1,0,0,5,1,2,1,1,1,0,0,0,0,0,0,29.52,95
964,38.00,0,3,1,1.699049206,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,15.48,90
965,25.00,1,2,0,6.676864478,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,25.56,99
966,30.00,1,2,0,6.753343509,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,17.04,96
967,120.00,1,2,1,0.772020102,1,0,0,0,1,0,0,6,1,3,1,1,1,1,0,1,0,0,0,44.04,99
968,58.00,0,1,1,0.98686717,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,41.28,98
969,163.00,0,21,1,5.439568809,0,0,1,0,0,1,0,4,3,1,1,1,1,0,0,0,0,0,0,16.68,95
970,35.00,1,2,0,12.82043363,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1,0,0,0,23.52,99
971,10.00,0,3,1,3.127493871,1,0,0,0,0,0,1,4,1,1,1,1,0,1,0,1,1,0,0,19.8,95
972,30.00,0,2,1,5.389961319,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1,0,0,0,47.88,97
973,26.00,0,2,1,6.739116483,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,30.6,92
974,90.00,0,3,0,0.76002069,1,0,0,0,1,0,0,4,1,1,1,1,0,0,1,0,0,0,0,20.52,91
975,45.00,0,1,1,6.681899547,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,6,100
976,42.00,0,1,0,5.552825644,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,8.76,100
977,35.00,0,2,1,8.645923555,0,0,1,0,0,1,0,2,1.5,1,1,1,1,1,0,0,0,0,0,,
978,30.00,0,7,1,2.961032061,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,17.16,85
979,72.00,1,5,1,3.297575926,1,0,0,0,1,0,0,4,1,1,1,1,0,1,0,1,0,0,0,22.08,99
980,30.00,0,15,0,0.633277157,0,0,0,1,0,1,0,1,3,1,1,1,0,0,1,1,0,0,0,26.04,86
981,57.00,1,2,0,3.375223839,1,0,0,0,1,0,0,2,1,2,1,1,1,1,0,1,0,0,0,38.52,99
982,60.00,0,15,0,0.784714086,0,0,0,1,0,1,0,2,3,1,1,1,0,0,1,1,0,0,0,2.16,95
983,25.00,1,2,1,2.485396341,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,12.84,98
984,35.00,1,2,0,11.28858691,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,1,0,0,0,19.92,96
985,85.00,0,2,0,11.58627361,0,0,1,0,1,0,0,4,2.5,2,1,1,0,1,0,1,0,0,0,33.84,99
986,40.00,1,1,0,4.313745001,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,10.92,99
987,25.00,0,1,0,14.1773524,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,27.48,98
988,35.00,1,2,0,1.587708447,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,62.64,99
989,45.00,1,5,1,5.578503219,1,0,0,0,1,0,0,8,1,3,1,1,0,0,1,1,0,0,0,64.92,98
990,25.00,0,1,1,3.578549993,0,0,1,0,0,1,0,2,1,1,1,1,0,1,1,1,1,0,0,20.76,90
991,55.00,0,1,1,1.261151241,1,0,0,0,0,1,0,2,1,1,1,1,0,1,1,0,0,0,0,,
992,115.00,0,1,1,6.734383539,1,0,0,0,1,0,0,7,1,2,1,0,0,0,0,0,0,0,0,1.8,
993,35.00,1,2,0,1.676930288,1,0,0,0,0,1,0,2,2,1,1,1,0,0,0,1,0,0,0,15.96,99
994,20.00,0,11,1,5.185745784,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,3.84,89
995,49.00,0,3,0,5.364121954,1,0,0,0,1,0,0,2,1,1,1,1,0,1,1,1,0,0,0,44.4,94
996,20.00,0,11,1,5.091297489,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,8.76,93
997,40.00,0,1,0,8.840836397,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,,
998,118.00,0,16,1,1.142732701,1,0,0,0,1,0,0,6,1,1,1,1,1,1,0,1,0,0,0,4.44,95
999,217.00,0,1,0,5.637579533,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,,
1000,60.00,1,1,0,16.50029569,0,0,1,0,1,0,0,3,1,1,1,1,1,1,1,0,0,0,0,36.24,98
1001,159.00,0,1,0,6.188138211,0,0,1,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,,
1002,30.00,1,2,0,17.01802332,0,0,1,0,0,1,0,4,1,1,1,1,0,1,0,1,0,0,0,31.2,99
1003,50.00,1,2,1,1.48196452,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,12.6,98
1004,26.00,0,1,1,6.219057024,1,0,0,0,0,1,0,2,1,1,1,1,0,1,1,1,0,0,0,9.84,92
1005,15.00,0,2,0,4.159858697,0,0,1,0,0,1,0,2,1,1,0,1,1,1,0,0,0,0,0,16.56,86
1006,25.00,1,1,1,5.499932613,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,27.72,99
1007,28.00,0,3,1,1.708651113,1,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,0,0,0,6.12,94
1008,20.00,0,2,0,3.350974192,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,1,0,0,0,3.96,90
1009,25.00,1,1,1,11.82780158,0,0,1,0,0,1,0,2,1.5,1,1,1,0,1,0,0,0,0,0,87.24,99
1010,45.00,0,1,0,6.428204257,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,6.6,96
1011,35.00,1,1,0,0.908972234,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,15,95
1012,69.00,0,4,0,2.130653965,0,0,1,0,1,0,0,5,2.5,3,1,1,0,1,0,1,0,0,0,35.52,88
1013,40.00,1,1,1,23.98660392,0,0,1,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,0,24.24,99
1014,50.00,0,2,1,1.244919476,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,67.32,94
1015,31.00,0,4,1,3.04288831,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,24.96,92
1016,35.00,1,1,0,10.84055968,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,0,22.32,99
1017,34.00,0,2,0,15.26335366,0,0,1,0,0,1,0,5,4,1,1,1,0,1,0,0,0,0,0,,
1018,25.00,0,2,1,5.553258305,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,41.64,97
1019,90.00,0,9,1,11.92786815,0,0,1,0,0,1,0,4,1,1,1,0,0,0,0,1,0,0,0,,
1020,15.00,0,3,1,6.969696666,0,0,1,0,0,1,0,2,1.5,1,1,1,0,1,0,1,0,0,0,20.64,95
1021,324.00,0,9,1,11.96390686,0,0,1,0,0,1,0,10,2,1,1,1,0,0,0,1,0,0,0,0.84,100
1022,150.00,0,1,0,1.003907696,0,0,1,0,1,0,0,4,1,2,1,1,0,1,1,1,0,0,0,32.28,98
1023,40.00,0,3,0,19.30182753,0,0,1,0,1,0,0,3,1,2,1,1,0,1,0,0,0,0,0,,
1024,9.00,0,3,0,19.29604113,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,16.8,98
1025,35.00,1,1,1,12.88045173,0,0,0,1,1,0,0,2,1,1,1,1,0,1,1,1,0,0,0,90.12,99
1026,40.00,0,2,1,3.831849214,0,0,1,0,0,1,0,3,1,1,1,1,1,1,0,1,1,0,0,15.84,82
1027,23.00,0,2,1,1.41688551,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,,
1028,180.00,0,11,0,2.709078006,0,0,1,0,1,0,0,7,1.5,2,1,1,0,1,1,1,0,0,0,16.08,97
1029,21.00,0,1,0,8.861154707,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,7.68,93
1030,65.00,1,1,0,3.09381072,1,0,0,0,1,0,0,4,1,1,1,1,0,1,1,1,0,0,0,48.6,97
1031,21.00,0,3,1,11.94159285,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,14.28,98
1032,75.00,0,1,0,10.57420894,1,0,0,0,1,0,0,3,1,1,1,1,1,1,1,1,0,0,0,18.84,88
1033,36.00,1,1,0,3.207845759,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,18,96
1034,75.00,0,16,1,1.048078602,1,0,0,0,1,0,0,4,1,1,1,1,0,1,0,1,0,0,0,22.8,93
1035,25.00,0,7,1,3.073981823,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,0,0,12.96,86
1036,65.00,1,3,0,10.00529163,0,0,0,1,1,0,0,4,1,2,1,1,0,1,0,1,0,0,0,34.56,98
1037,35.00,0,14,0,0.831208735,1,0,0,0,0,1,0,2,1,1,1,1,0,0,1,1,1,0,0,39.48,88
1038,25.00,0,5,1,9.892270266,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,27.72,97
1039,200.00,1,2,1,1.531828314,1,0,0,0,1,0,0,4,1,2,1,1,1,1,0,0,0,0,0,1.2,100
1040,63.00,0,1,0,13.40168588,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,,
1041,160.00,0,1,0,1.572411944,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,14.88,96
1042,23.00,1,2,1,4.004369409,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,35.64,94
1043,32.00,1,1,0,3.618739582,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,41.52,98
1044,75.00,1,1,1,1.08036151,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,37.92,97
1045,138.00,0,1,1,3.739458428,0,0,1,0,1,0,0,10,2,5,1,1,0,1,0,1,0,0,0,6.96,98
1046,26.00,0,3,1,3.045417114,0,0,1,0,0,1,0,2,1.5,1,1,1,0,1,1,0,0,0,0,82.44,91
1047,70.00,1,3,0,10.06142503,0,0,0,1,1,0,0,5,1,2,1,1,0,1,0,1,0,0,0,40.32,99
1048,20.00,0,2,0,5.687322534,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,0,1,0,0,77.04,94
1049,35.00,1,1,1,6.584770516,0,0,1,0,1,0,0,3,1,2,1,1,0,1,1,1,0,0,0,14.28,98
1050,50.00,0,10,0,1.451939917,1,0,0,0,1,0,0,8,2,2,1,1,0,0,0,1,0,0,0,0.6,40
1051,50.00,0,1,0,1.668692497,1,0,0,0,1,0,0,4,1,1,1,1,1,1,1,1,0,0,0,47.4,94
1052,55.00,1,4,0,0.886918377,1,0,0,0,0,1,0,2,2,1,1,1,0,0,0,1,0,0,0,4.56,98
1053,40.00,1,1,0,6.685841309,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,26.16,97
1054,30.00,1,1,0,7.858288464,0,0,1,0,0,1,0,2,1.5,1,0,1,1,0,0,0,0,0,0,26.76,96
1055,66.00,0,1,0,14.54612475,0,0,1,0,1,0,0,5,2,3,1,1,1,1,0,1,0,0,0,4.56,100
1056,350.00,0,1,1,12.7764973,0,0,1,0,1,0,0,6,1.5,3,1,0,0,0,0,0,0,0,0,,
1057,20.00,0,5,1,3.80899307,0,0,1,0,0,1,0,2,2,1,1,1,0,0,1,1,0,0,0,32.16,94
1058,45.00,0,1,0,11.01481467,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.6,100
1059,46.00,0,2,1,2.732507339,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,19.56,85
1060,20.00,1,2,0,0.969726434,0,0,1,0,0,1,0,2,1.5,1,1,1,1,1,0,1,0,0,0,86.4,97
1061,17.00,0,3,0,5.238589012,0,0,1,0,0,1,0,2,2.5,1,1,1,1,1,1,1,0,0,0,7.08,94
1062,85.00,0,22,0,1.936485585,0,0,1,0,1,0,0,10,2,3,1,1,0,1,0,1,0,0,0,38.04,95
1063,73.00,1,6,0,3.581855713,1,0,0,0,1,0,0,4,1,2,1,1,0,1,1,1,0,0,0,8.16,91
1064,355.00,0,1,1,0.329969307,1,0,0,0,1,0,0,5,1,0,1,0,0,0,1,1,0,0,0,9.48,20
1065,55.00,0,3,0,5.450260095,1,0,0,0,1,0,0,2,1,1,1,1,0,1,1,1,0,0,0,62.4,95
1066,21.00,1,4,1,5.544514787,0,0,1,0,0,1,0,3,2,1,1,1,0,0,1,1,0,0,0,20.04,97
1067,21.00,1,4,1,5.388396718,0,0,1,0,0,1,0,2,2,1,1,1,0,0,1,1,0,0,0,22.92,99
1068,21.00,1,4,1,5.580340534,0,0,1,0,0,1,0,2,2,1,1,1,0,0,1,1,0,0,0,14.4,96
1069,60.00,0,1,0,1.713949257,1,0,0,0,0,1,0,2,1,1,1,1,0,1,1,0,0,0,0,0.6,100
1070,40.00,0,11,1,11.21867509,0,0,1,0,0,1,0,2,1.5,1,1,1,0,0,0,1,0,0,0,4.68,90
1071,100.00,0,5,1,3.364683248,0,0,1,0,1,0,0,4,2,2,1,1,1,1,0,0,0,0,0,3.6,100
1072,45.00,1,1,1,1.400310585,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,36.36,99
1073,42.00,1,1,0,5.376244693,0,0,1,0,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,16.44,100
1074,100.00,0,1,1,7.294834422,0,0,1,0,1,0,0,8,1,3,1,1,0,1,1,1,0,0,0,5.88,87
1075,25.00,0,5,1,10.87379925,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,1,0,0,21.36,98
1076,22.00,0,1,0,5.240445803,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,,
1077,25.00,0,2,0,4.593738404,1,0,0,0,0,1,0,2,1,1,1,1,0,1,1,1,0,0,0,39.6,91
1078,85.00,0,8,0,17.44535181,1,0,0,0,1,0,0,4,1,1,1,1,0,1,1,1,0,0,0,2.64,80
1079,80.00,0,1,0,15.92539482,0,0,1,0,1,0,0,6,2,4,1,1,0,1,1,0,0,0,0,1.32,100
1080,59.00,0,9,1,1.845463117,0,0,0,1,1,0,0,4,1,1,1,1,1,1,1,1,0,0,0,93.36,93
1081,38.00,0,4,1,3.192734982,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,17.4,92
1082,98.00,0,3,1,3.230524068,0,0,1,0,1,0,0,6,1,2,1,1,0,1,1,1,0,0,0,35.28,92
1083,30.00,0,2,0,4.704595867,1,0,0,0,0,1,0,2,1,1,1,1,0,1,1,1,0,0,0,19.8,92
1084,70.00,0,1,0,3.423341469,1,0,0,0,1,0,0,2,1,1,1,0,1,1,1,0,0,0,0,1.2,100
1085,17.00,0,1,0,5.460707151,0,0,1,0,0,1,0,2,1,1,1,1,0,1,1,0,0,0,0,0.6,
1086,95.00,0,14,1,14.67627727,0,0,1,0,1,0,0,5,1,3,1,1,0,1,0,1,0,0,0,5.4,93
1087,60.00,0,2,1,2.806600876,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,,
1088,60.00,1,3,1,6.270881136,1,0,0,0,1,0,0,4,1,1,1,1,0,1,0,1,0,0,0,57.12,98
1089,194.00,0,21,1,2.865054225,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0.72,100
1090,194.00,0,21,1,2.844506278,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,3.6,93
