Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
49,70.00,0,4,1,8.329848788,1,0,0,0,1,0,0,4,2,2,1,1,0,1,0,1,0,0,0,3,98
50,68.00,0,4,1,10.35664561,1,0,0,0,1,0,0,3,1,2,1,1,0,1,0,1,0,0,0,3.96,88
51,75.00,0,4,1,8.356453998,1,0,0,0,1,0,0,4,2,2,1,1,0,1,0,1,0,0,0,3.72,93
52,40.00,0,1,1,1.100490598,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,36.96,90
53,65.00,1,3,1,5.942711353,0,0,1,0,0,1,0,2,,1,1,1,0,1,0,0,0,0,0,3.12,96
54,66.00,0,1,0,8.376750989,1,0,0,0,0,1,0,1,,1,1,0,0,0,0,0,0,0,0,,
55,150.00,1,1,0,6.28657479,0,0,1,0,1,0,0,4,1.5,2,1,1,0,1,0,1,0,0,0,10.44,100
56,32.00,0,1,1,6.616572807,1,0,0,0,0,1,0,2,0.5,1,1,1,0,1,0,1,0,0,0,17.04,94
57,49.00,0,3,0,17.06908979,0,0,0,1,1,0,0,5,1,2,1,1,0,0,0,1,0,0,0,27.84,87
58,49.00,0,3,0,13.74941371,0,0,0,1,1,0,0,5,1,2,1,1,0,1,1,1,0,0,0,30,92
59,49.00,0,3,0,13.89957439,0,0,0,1,1,0,0,5,1,2,1,1,0,1,1,1,0,0,0,25.32,88
60,92.00,1,3,1,5.775196493,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,2.52,96
61,135.00,0,1,0,8.661526604,0,0,1,0,1,0,0,4,1,2,1,1,0,0,0,1,0,0,0,,
62,38.00,0,1,0,5.817686009,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,6.96,92
63,30.00,0,2,1,12.01181878,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,29.28,89
64,38.00,0,2,1,11.96125632,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,0,0,0,0,13.8,92
65,45.00,1,2,0,11.87955665,0,0,1,0,0,1,0,2,1.5,1,1,1,1,1,0,0,0,1,1,8.28,95
66,40.00,0,1,1,5.093912666,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,1,0,0,7.32,98
